Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Rsem_mqc-generalstats-rsem-alignable_percent	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
F6_MOCK_1_MP180	94.16	20075852.0																	
F6_MOCK_1_MP180.R1.trim			60.62512717927164	52.0	136.50519944031498	27.27272727272727	21320564.0												
F6_MOCK_1_MP180.R2								9.909482674279921											
F6_MOCK_1_MP180.R2.trim			62.223261941590394	52.0	136.2853414196735	18.181818181818183	21320564.0												
F6_MOCK_1_MP180.RSEM									98.66983875927728										
F6_MOCK_1_MP180.p2	94.16	20075852.0								23.0988	98.84340250738116	46117649.0	46657286.0	0.0	0.06620000000000001	92.6075	0.201946		
F6_MOCK_2_MP180	94.27	27056422.0																	
F6_MOCK_2_MP180.R1.trim			63.87241623100928	52.0	137.98632714712735	27.27272727272727	28699497.0												
F6_MOCK_2_MP180.R2								8.916668726385332											
F6_MOCK_2_MP180.R2.trim			65.65249536386463	52.0	137.78835116866333	18.181818181818183	28699497.0												
F6_MOCK_2_MP180.RSEM									98.61957206867577										
F6_MOCK_2_MP180.p2	94.27	27056422.0								31.5581	98.7986231980386	61865876.0	62618156.0	0.0	0.0713	92.6939	0.221817		
F6_MOCK_3_MP180	94.37	20130745.0																	
F6_MOCK_3_MP180.R1.trim			60.719261955089124	51.0	137.81264896771424	27.27272727272727	21332223.0												
F6_MOCK_3_MP180.R2								9.020198961145478											
F6_MOCK_3_MP180.R2.trim			61.929799004395555	51.0	137.60943990694267	18.181818181818183	21332223.0												
F6_MOCK_3_MP180.RSEM									98.86231994327707										
F6_MOCK_3_MP180.p2	94.37	20130745.0								22.8742	99.01330245854858	46073763.0	46532902.0	0.0	0.0655	92.0317	0.185934		
F6_MOCK_4_MP180	93.99	21778471.0																	
F6_MOCK_4_MP180.R1.trim			61.10613814922499	51.0	137.43496410677483	27.27272727272727	23171643.0												
F6_MOCK_4_MP180.R2								9.340852931695588											
F6_MOCK_4_MP180.R2.trim			62.179627640209006	51.0	137.20147820333673	18.181818181818183	23171643.0												
F6_MOCK_4_MP180.RSEM									98.44569679953852										
F6_MOCK_4_MP180.p2	93.99	21778471.0								24.5815	98.65183946861069	49919058.0	50601244.0	0.0	0.0616	91.7946	0.195		
F6_RAS_1_MP180	93.81	20889052.0																	
F6_RAS_1_MP180.R1.trim			59.756954203232695	51.0	137.58828511212434	27.27272727272727	22266931.0												
F6_RAS_1_MP180.R2								9.183583916777648											
F6_RAS_1_MP180.R2.trim			61.32115569667167	51.0	137.3951915510943	18.181818181818183	22266931.0												
F6_RAS_1_MP180.RSEM									98.0681174563706										
F6_RAS_1_MP180.p2	93.81	20889052.0								25.0719	98.34052312619957	47744856.0	48550541.0	0.0	0.0671	91.32639999999999	0.170907		
F6_RAS_2_MP180	93.76	22151771.0																	
F6_RAS_2_MP180.R1.trim			61.067690519634084	51.0	136.3053440461927	27.27272727272727	23625563.0												
F6_RAS_2_MP180.R2								10.083733197932112											
F6_RAS_2_MP180.R2.trim			62.268851537163364	51.0	136.0554595037587	18.181818181818183	23625563.0												
F6_RAS_2_MP180.RSEM									98.13007538590577										
